xml:id,Titre de l'oeuvre,Wikidata,Artiste (xml:id),Auteur modèle,Type d'oeuvre,Ref bibliographie,Page bibliographie,Note,Niveau de certitude,Institution de conservation,Lieu de conservation d'après le texte,n° d'inventaire,Lien image,Technique,Datation,Datation début,Datation fin,Lien vers d'autres répertoires
LogesVatican,Loges vaticanes,https://www.wikidata.org/wiki/Q3836415,,,Peinture,,,,,,,,,,,,,
RaphaelMadonneSixtine,Madonne Sixtine,https://www.wikidata.org/wiki/Q328079,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 53,,,,,,,,,,,
RaphaelSaintMichel,Saint Michel,https://www.wikidata.org/wiki/Q594470,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 61,,,,,,,,,,,
SalleConstantinVatican,Salle de Constantin,https://www.wikidata.org/wiki/Q3945256,,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 86,,,,,,,,,,,
RaphaelTapisseriesApotres,Tapisseries des actes des apotres,https://www.wikidata.org/wiki/Q76844726,Raphael,,Peinture,,,,,,,,,,,,,
RaphaelSaintJeanBaptisteFlorence,Saint Jean-Baptiste,https://www.wikidata.org/wiki/Q3463871,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° A4,,,,,,,,,,,
RaphaelTransfiguration,Transfiguration,https://www.wikidata.org/wiki/Q2344437,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 66,,,,,,,,,,,
RaphaelSainteFamilleFrancoisIer,Sainte Famille de François Ier,https://www.wikidata.org/wiki/Q2467141,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 62,,,,,,,,,,,
RaphaelSainteMargueriteLouvre,Sainte Marguerite,https://www.wikidata.org/wiki/Q2310025,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° A10,,,,,,,,,,,
RaphaelRomanoIsabelleRequesens,Portrait d'Isabelle de Requesens,https://www.wikidata.org/wiki/Q3399388,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° 79,,,,,,,,,,,
DaCarpiVeroniquePaulPierre,,,UgoDaCarpi,,Peinture,,,,,,,,,,,,,
CorregeCoupoleAssomption,Assomption (Coupole),https://www.wikidata.org/wiki/Q771210,Correge,,Peinture,,,,,,,,,,,,,
CarracheGalerieFarnese,Galerie Farnese,https://www.wikidata.org/wiki/Q7749083,AnnibaleCarracci,,Peinture,,,,,,,,,,,,,
VerrocchioLeonardoBapteme,Baptême du Christ,https://www.wikidata.org/wiki/Q1059211,Verrocchio,,Peinture,maraniLeonardVinciCarriere1999,n° 10,,,,,,,,,,,
LeonardMeduse,Tête de Méduse,https://www.wikidata.org/wiki/Q3492887,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,perdues n°3,"Fiche à rédiger, cas complexe",,,,,,,,,,
LeonardMadoneOeillet,Madonne à l'oeillet,https://www.wikidata.org/wiki/Q698015,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 6,,,,,,,,,,,
LeonardAdamEve,Adam et Eve,,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,perdues n°2,Carton perdu de Léonard de Vinci.,,,,,,,,,,
LeonardDessinNeptune,,,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,perdues n°9,"Dessin pour Antonio Segni qui a disparu, autre version à Windsor",,,,,,,,,,
LeonardAdorationMages,Adoration des Mages,https://www.wikidata.org/wiki/Q1638622,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 12,,,,,,,,,,,
LeonardCene,La Cène,https://www.wikidata.org/wiki/Q128910,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 18,,,,,,,,,,,
LeonardSainteAnne,"Sainte Anne, la Vierge et l'Enfant Jésus jouant avec un agneau",https://www.wikidata.org/wiki/Q563727,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 30,,,,,,,,,,,
LeonardJoconde,,,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 27,,,,,,,,,,,
LeonardGinevraBenci,,,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 7,,,,,,,,,,,
LeonardViergeRochers,,https://www.wikidata.org/wiki/Q269342,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 26,VERIFIER,,,,,,,,,,
CopieLeonardCeneParis,,,,,Peinture,,,https://agorha.inha.fr/ark:/54721/de2c4ece-6102-4ce5-b74e-15be9bfa6522,,,,,,,,,,
LeonardLionMecanique,,,LeonardoDaVinci,,Peinture,,,,,,,,,,,,,
LeonardCartonBurlington,"La Vierge, l'Enfant Jésus avec sainte Anne et saint Jean-Baptiste",https://www.wikidata.org/wiki/Q2471531,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 25,,,,,,,,,,,
LeonardIsabelleEste,Portrait d'Isabelle d'Este,https://www.wikidata.org/wiki/Q591128,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,n° 22,,,,,,,,,,,
MelziFlora,Flora,https://www.wikidata.org/wiki/Q21716903,FrancescoMelzi,,Peinture,,,Pas sûr dans la vie de Léonard de Du Fresne,BAS,,,,,,,,,
ViergeAuxBalancesLouvre,Vierge aux Balances,https://www.wikidata.org/wiki/Q18565884,,,Peinture,,,,,,,,https://collections.louvre.fr/ark:/53355/cl010066558,,,,,
LeonardAssomptionMilan,"Assomption avec saint Dominique et saint Pierre de Vérone, Ludovic le More et Béatrice d'Este",,LeonardoDaVinci,,Peinture,maraniLeonardVinciCarriere1999,perdues n° 6,Fresque perdue présente à l'église Santa Maria delle Grazie à Milan.,,,,,,,,,,
Laocoon,Laocoon,https://www.wikidata.org/wiki/Q22878,,,Sculpture,,,,,,,,,,,,,
DonatelloSaintGeorges,Saint Georges,https://www.wikidata.org/wiki/Q3947208,Donatello,,Sculpture,,,,,,,,,,,,,
